Date,Rain,T_max,T_min,Himachal_Pradesh,HP_Tourism,HP_Weather,HP_Travel,Party & Holiday Supplies,Geographic Reference,Travel,Hotels & Accommodations,Air Travel,Bus & Rail,Car & Taxi,Tourist Destinations,Travel Agencies,Tourist Arrivals
2012-08-01,2.8219182793839357,0.5764890236932585,1.4272837036654233,-0.3602066543318215,0.20560386067690506,-0.7588688149186098,-0.523610067151382,1,-0.0715758514318187,-0.464358226349076,1,1,-0.6138230636814577,1,0.1316530458523116,1,1210271.5
2012-09-01,0.42475148456246703,0.5071827716498779,0.8795573431660385,-0.18238311611737795,0.09500316320932857,-0.7588688149186098,-0.523610067151382,0,-0.3680138909901475,-0.8607460967209273,1,1,-0.41840184340736086,0,-0.552942792579708,2,1283317.25
2012-10-01,-1.1025902563660097,0.19530463745466384,-0.2607909811523528,-0.44911842343904324,-0.01559753425824791,-0.8125574929808788,-0.8451973524884513,0,-0.5656392506957,-0.9598430643138901,0,1,-0.027559402859167394,0,-0.38179383297170316,0,1593151.0
2012-11-01,-1.0969022598345821,-0.5324110090008355,-0.7292017757870727,-1.249324345404039,-0.1261982317258244,-0.8125574929808788,-0.523610067151382,0,-0.7632646104012525,-1.2571339670927786,1,1,-1.004665504229651,0,-0.7240917521877129,2,941651.0
2012-12-01,-0.9680131960838989,-1.1908204034129544,-0.9985753957048029,0.3510874985259526,-0.1261982317258244,-0.5978027807318028,-0.20202278181431285,0,-0.4668265708429237,-0.7616491291279645,2,1,-0.027559402859167394,0,-0.552942792579708,1,1022930.0
2013-01-01,-0.1847384409379982,-1.8261277138106122,-1.5208609143230687,-0.9825890380823737,0.09500316320932857,-0.5441141026695338,-0.523610067151382,0,-0.5656392506957,-0.7616491291279645,2,1,-0.6138230636814577,0,-0.21064487336369822,2,787516.25
2013-02-01,1.032150700711884,-1.4564943695792476,-1.188633449757868,-0.8047654998679302,0.20560386067690506,-0.4904254246072648,0.11956450352275637,0,-0.17038853128459494,-0.9598430643138901,1,1,-0.41840184340736086,0,-0.21064487336369822,0,854865.5
2013-03-01,0.14625886223023005,-0.48290654325556337,-0.6483896898117535,-0.5380301925462649,0.31620455814448156,-0.7051801368563408,-0.20202278181431285,0,0.027236828420957548,-0.16706732357018753,2,2,0.7541254782372196,1,-0.0394959137556933,0,1123251.0
2013-04-01,-0.8126608203352508,0.3075147598106138,0.014568719207993706,-0.0045595779029344325,0.31620455814448156,-0.7051801368563408,-0.20202278181431285,0,-0.0715758514318187,-0.2661642911631503,2,2,0.5587042579631228,2,-0.0394959137556933,1,1747531.25
2013-05-01,-0.7008724919795658,1.444467323093695,0.5937220020311136,2.2182346497776093,0.648006650547211,-0.5441141026695338,0.7627390741968948,0,0.7189255873903913,1.0220962875453663,1,1,1.7312315796077034,0,1.500844722716351,2,1742933.375
